databaseId	name	imageUrl	cardBack	type	Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission	DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity	Range	Cunning	Weapons	Strength	Shields	gametext	HoF
ST2E-EN06050	"Kira Nerys Starfleet Emissary"	https://www.trekcc.org/2e/cardimages/ST2E-EN06050.jpg	red_card_back	Personnel	"Kira Nerys Starfleet Emissary"	"R2"	"ST2E-EN06050"	"P"	"Y"	"6P050"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][DS9]"	""	""	""	"Bajoran"	"Leadership Officer Security"	"6"	"6"	"6"	"6"	"6"	"6"	"You may play this personnel at {Bajor} or {Cardassia Prime}. While this personnel is facing a dilemma, you may discard an event from hand to make a non-Bajoran present attributes +2 until the end of that dilemma."	"Y"
ST2E-EN06051	"Santos Squad Leader"	https://www.trekcc.org/2e/cardimages/ST2E-EN06051.jpg	red_card_back	Personnel	"Santos Squad Leader"	"R2"	"ST2E-EN06051"	"P"	"Y"	"6P051"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human"	"Leadership Medical Navigation Transporters"	"4"	"4"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may destroy your event to add that event's cost to this personnel's attributes until the end of that mission attempt."	"Y"
ST2E-EN06052	"Shankar Maquis Soldier"	https://www.trekcc.org/2e/cardimages/ST2E-EN06052.jpg	red_card_back	Personnel	"Shankar Maquis Soldier"	"R2"	"ST2E-EN06052"	"P"	"Y"	"6P052"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][Maq]"	""	""	""	"Human"	"Archaeology Biology Geology Officer Treachery"	"4"	"4"	"6"	"6"	"6"	"6"	"When you play this personnel, if you command at least three Region: Demilitarized Zone missions, you may make each opponent place his or her hand on the top of his or her deck in the order of his or her choice."	"N"
ST2E-EN06053	"William T. Riker Wistful Admiral"	https://www.trekcc.org/2e/cardimages/ST2E-EN06053.jpg	red_card_back	Personnel	"William T. Riker Wistful Admiral"	"R2"	"ST2E-EN06053"	"P"	"Y"	"6P053"	"Personnel"	"2"	""	""	""	""	""	"Federation"	"[Cmd][TNG][Fut]"	""	"Admiral. Commander: U.S.S. Enterprise-D."	""	"Human"	"Leadership Navigation Officer Security"	"5"	"5"	"6"	"6"	"5"	"5"	"While this personnel is attempting a space mission, he is attributes +1 and gains Diplomacy and Law."	"Y"
ST2E-EN06054	"Alexander Rozhenko K'mtar"	https://www.trekcc.org/2e/cardimages/ST2E-EN06054.jpg	red_card_back	Personnel	"Alexander Rozhenko K'mtar"	"R2"	"ST2E-EN06054"	"P"	"Y"	"6P054"	"Personnel"	"4"	""	""	""	""	""	"Klingon"	"[Cmd][Fut]"	""	"High Council Member."	""	"Human/Klingon"	"2 Diplomacy Honor Programming Transporters"	"8"	"8"	"5"	"5"	"8"	"8"	"When you play this personnel, if each of your non-headquarters missions requires Diplomacy, you may download up to two events, then play each of them at cost -3."	"N"
ST2E-EN06055	"Worf Son of Mogh"	https://www.trekcc.org/2e/cardimages/ST2E-EN06055.jpg	red_card_back	Personnel	"Worf Son of Mogh"	"R2"	"ST2E-EN06055"	"P"	"Y"	"6P055"	"Personnel"	"2"	""	""	""	""	""	"Klingon"	"[Cmd]"	""	""	""	"Klingon"	"2 Honor Officer Physics 2 Security"	"8"	"8"	"5"	"5"	"8"	"8"	"When you play this personnel, each opponent draws a card."	"Y"
ST2E-EN06056	"Jean-Luc Picard Galen"	https://www.trekcc.org/2e/cardimages/ST2E-EN06056.jpg	red_card_back	Personnel	"Jean-Luc Picard Galen"	"R2"	"ST2E-EN06056"	"P"	"Y"	"6P056"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Cmd]"	""	"Commander: Fortune. Thief."	""	"Human"	"Anthropology Archaeology Leadership Science"	"6"	"6"	"6"	"6"	"6"	"6"	"While an artifact is in your discard pile, each of your {Smuggler} personnel and {Thief} personnel is attributes +1."	"Y"
ST2E-EN06057	"Vina Orion Slave Girl"	https://www.trekcc.org/2e/cardimages/ST2E-EN06057.jpg	red_card_back	Personnel	"Vina Orion Slave Girl"	"R2"	"ST2E-EN06057"	"P"	"Y"	"6P057"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[AU]"	""	""	""	"Orion"	"Honor"	"6"	"6"	"4"	"4"	"3"	"3"	"Order - This personnel gains any one skill of your choice. She keeps that skill until this order is executed again."	"Y"
ST2E-EN06058	"Deanna Troi Major Rakal"	https://www.trekcc.org/2e/cardimages/ST2E-EN06058.jpg	red_card_back	Personnel	"Deanna Troi Major Rakal"	"R2"	"ST2E-EN06058"	"P"	"Y"	"6P058"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	""	""	"Betazoid/Human"	"Anthropology Telepathy"	"6"	"6"	"5"	"5"	"4"	"4"	"While this personnel is present with a [Rom] Dissident personnel, she is attributes +1 and gains Intelligence, Leadership and Security."	"Y"
ST2E-EN06059	"Mendak Duplicitous Admiral"	https://www.trekcc.org/2e/cardimages/ST2E-EN06059.jpg	red_card_back	Personnel	"Mendak Duplicitous Admiral"	"R2"	"ST2E-EN06059"	"P"	"Y"	"6P059"	"Personnel"	"3"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	"Admiral. Commander: Devoras."	""	"Romulan"	"Exobiology Intelligence Leadership Officer Transporters Treachery"	"3"	"3"	"7"	"7"	"6"	"6"	"While each of your non-headquarters missions is not a [Rom] mission, you may attempt each of them using your [Rom] personnel."	"Y"
ST2E-EN05022	"Kira Nerys The Intendant"	https://www.trekcc.org/2e/cardimages/ST2E-EN05022.jpg	red_card_back	Personnel	"Kira Nerys The Intendant"	"FT"	"ST2E-EN05022"	"P"	"Y"	"5P022"	"Personnel"	"3"	""	""	""	""	""	"Bajoran"	"[Cmd][AU]"	""	""	""	"Bajoran"	"Exobiology Intelligence Leadership Transporters 2 Treachery"	"2"	"2"	"6"	"6"	"5"	"5"	"Order - Remove a card in your discard pile from the game to download a copy of that card. You may do this only once each turn."	"Y"
ST2E-EN05023	"Kira Taban Husband and Father"	https://www.trekcc.org/2e/cardimages/ST2E-EN05023.jpg	red_card_back	Personnel	"Kira Taban Husband and Father"	"FT"	"ST2E-EN05023"	"P"	"Y"	"5P023"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Stf][Pa]"	""	"Bajoran Resistance."	""	"Bajoran"	"Biology Honor Medical Physics"	"6"	"6"	"5"	"5"	"5"	"5"	"When you play this personnel, if you have a lower score than each of your opponents, score 5 points."	"Y"
ST2E-EN05024	"Dukat Prefect of Bajor"	https://www.trekcc.org/2e/cardimages/ST2E-EN05024.jpg	red_card_back	Personnel	"Dukat Prefect of Bajor"	"FT"	"ST2E-EN05024"	"P"	"Y"	"5P024"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd][Pa]"	""	"Gul."	""	"Cardassian"	"Diplomacy Exobiology Leadership Officer 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"When this personnel or a [Car] personnel present is about to be stopped by a dilemma, you may discard a non-[Car] personnel from hand to prevent that. You may do this only once each turn."	"Y"
ST2E-EN05025	"Elim Garak First Officer of Terok Nor"	https://www.trekcc.org/2e/cardimages/ST2E-EN05025.jpg	red_card_back	Personnel	"Elim Garak First Officer of Terok Nor"	"FT"	"ST2E-EN05025"	"P"	"Y"	"5P025"	"Personnel"	"2"	""	""	""	""	""	"Cardassian"	"[Stf][AU]"	""	""	""	"Cardassian"	"Biology Officer Programming Security 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"When a personnel at this mission is about to be stopped by a dilemma, you may kill your captive to prevent that."	"Y"
ST2E-EN05026	"Borath Subconscious Projection"	https://www.trekcc.org/2e/cardimages/ST2E-EN05026.jpg	red_card_back	Personnel	"Borath Subconscious Projection"	"FT"	"ST2E-EN05026"	"P"	"Y"	"5P026"	"Personnel"	"4"	""	""	""	""	""	"Dominion"	"[Cmd][AU]"	""	"Founder."	""	"Vorta"	"Diplomacy Leadership Medical Programming Treachery"	"4"	"4"	"6"	"6"	"4"	"4"	"Order - Stop your Jem'Hadar present to reveal the top card of your deck and an opponent's deck. If they are the same card type, draw yours and discard the opponent's."	"Y"
ST2E-EN05027	"Founder Agitator Elusive Assassin"	https://www.trekcc.org/2e/cardimages/ST2E-EN05027.jpg	red_card_back	Personnel	"Founder Agitator Elusive Assassin"	"FT"	"ST2E-EN05027"	"P"	"Y"	"5P027"	"Personnel"	"2"	""	""	""	""	""	"Dominion"	"[Stf]"	""	"Assassin. Founder. Infiltrator. Shape-shifter."	""	"Changeling"	"Physics Science Security 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"Order - Return this personnel to his owner's hand to return one opponent's non-unique personnel present to his or her owner's hand for each headquarters mission that opponent commands."	"Y"
ST2E-EN05028ab	"James T. Kirk Living Legend"	https://www.trekcc.org/2e/cardimages/ST2E-EN05028ab.jpg	red_card_back	Personnel	"James T. Kirk Living Legend"	"FT"	"ST2E-EN05028ab"	"P"	"Y"	"5P028"	"Personnel"	"4"	""	""	""	""	""	"Federation"	"[Cmd][E][Pa]"	""	""	""	"Human"	"2 Honor Leadership"	"7"	"7"	"6"	"6"	"5"	"5"	"While this personnel is facing a dilemma that has requirements you cannot meet, you may kill this personnel to prevent and overcome that dilemma."	"N"
ST2E-EN05029	"Tasha Yar Tactical Officer"	https://www.trekcc.org/2e/cardimages/ST2E-EN05029.jpg	red_card_back	Personnel	"Tasha Yar Tactical Officer"	"FT"	"ST2E-EN05029"	"P"	"Y"	"5P029"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Stf][TNG][AU]"	""	""	""	"Human"	"Engineer Honor Leadership Security"	"7"	"7"	"5"	"5"	"6"	"6"	"While this personnel is attempting a mission, you may place her on top of her owner's deck to prevent one of your personnel present from being stopped by dilemmas until the end of this turn."	"Y"
ST2E-EN05030	"Worf First Officer"	https://www.trekcc.org/2e/cardimages/ST2E-EN05030.jpg	red_card_back	Personnel	"Worf First Officer"	"FT"	"ST2E-EN05030"	"P"	"Y"	"5P030"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG][AU]"	""	""	""	"Klingon"	"Honor Leadership Navigation Officer"	"7"	"7"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, you may discard two cards from hand to exchange a [TNG] personnel you own present with a [TNG] personnel who has the same cost from your hand."	"Y"
STVE-EN05031ab	"Korath Duplicitous Tinkerer"	https://www.trekcc.org/2e/cardimages/STVE-EN05031ab.jpg	red_card_back	Personnel	"Korath Duplicitous Tinkerer"	"FT"	"STVE-EN05031ab"	"P"	"Y"	"5P031"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd][Fut]"	""	"High Council Member."	""	"Klingon"	"Diplomacy Engineer Leadership Physics"	"4"	"4"	"6"	"6"	"7"	"7"	"When you are about to play a non-Hand Weapon equipment, you may play it at cost +2 and stop this personnel to destroy an opponent's event that has no cards on it."	"Y"
ST2E-EN05032	"Worf Regent of the Alliance"	https://www.trekcc.org/2e/cardimages/ST2E-EN05032.jpg	red_card_back	Personnel	"Worf Regent of the Alliance"	"FT"	"ST2E-EN05032"	"P"	"Y"	"5P032"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd][AU]"	""	"Chancellor."	""	"Klingon"	"Biology Leadership Officer 2 Treachery"	"2"	"2"	"5"	"5"	"8"	"8"	"While this personnel is facing a dilemma, you may discard a [Car] or [Kli] personnel from hand to make this personnel attributes +3 until the end of that dilemma."	"Y"
ST2E-EN05033ab	"Benjamin Sisko Outlaw"	https://www.trekcc.org/2e/cardimages/ST2E-EN05033ab.jpg	red_card_back	Personnel	"Benjamin Sisko Outlaw"	"FT"	"ST2E-EN05033ab"	"P"	"Y"	"5P033"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Cmd][AU]"	""	""	""	"Human"	"Acquisition Anthropology Biology Leadership Navigation"	"5"	"5"	"5"	"5"	"6"	"6"	"Order - Choose one for this personnel to gain: ""Honor personnel present are Cunning +1""; or ""Treachery personnel present are Cunning +1"". This effect lasts until this order is executed again."	"Y"
ST2E-EN05034	"Daniels Temporal Enforcer"	https://www.trekcc.org/2e/cardimages/ST2E-EN05034.jpg	red_card_back	Personnel	"Daniels Temporal Enforcer"	"FT"	"ST2E-EN05034"	"P"	"Y"	"5P034"	"Personnel"	"3"	""	""	""	""	""	"Non-Aligned"	"[Stf][Fut]"	""	""	""	"Alien/Human"	"Anthropology Archaeology Engineer Intelligence Physics Security"	"6"	"6"	"6"	"6"	"6"	"6"	"When this personnel is killed, shuffle him into his owner's deck."	"Y"
ST2E-EN05035	"Miles O'Brien ""Smiley"""	https://www.trekcc.org/2e/cardimages/ST2E-EN05035.jpg	red_card_back	Personnel	"Miles O'Brien ""Smiley"""	"FT"	"ST2E-EN05035"	"P"	"Y"	"5P035"	"Personnel"	"4"	""	""	""	""	""	"Non-Aligned"	"[Cmd][AU]"	""	""	""	"Human"	"Engineer Leadership Physics Transporters"	"5"	"5"	"6"	"6"	"6"	"6"	"When you play a ship at this mission, if you have played no other ships this turn, it is cost -1 for each of your Engineer personnel at this mission."	"Y"
ST2E-EN05036	"The Traveler Transcendent Explorer"	https://www.trekcc.org/2e/cardimages/ST2E-EN05036.jpg	red_card_back	Personnel	"The Traveler Transcendent Explorer"	"FT"	"ST2E-EN05036"	"P"	"Y"	"5P036"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[Stf]"	""	""	""	"Alien"	"Anthropology Astrometrics Engineer Honor 2 Physics Science"	"6"	"6"	"8"	"8"	"3"	"3"	"When this personnel is stopped by a dilemma, place him on the bottom of his owner's deck."	"Y"
ST2E-EN05037	"Tomalak Irate Commander"	https://www.trekcc.org/2e/cardimages/ST2E-EN05037.jpg	red_card_back	Personnel	"Tomalak Irate Commander"	"FT"	"ST2E-EN05037"	"P"	"Y"	"5P037"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd][AU]"	""	"Commander: Terix."	""	"Romulan"	"Diplomacy Exobiology Leadership Officer"	"4"	"4"	"6"	"6"	"7"	"7"	"At the start of each of your turns, you may stop your [Rom] personnel present to reveal the top card of each player's deck."	"Y"
ST2E-EN00006	"Benjamin Sisko Shipwright"	https://www.trekcc.org/2e/cardimages/ST2E-EN00006.jpg	red_card_back	Personnel	"Benjamin Sisko Shipwright"	"X"	"ST2E-EN00006"	"P"	"Y"	"0P006"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	"Commander: Baraka."	""	"Human"	"Anthropology Astrometrics Engineer Honor Navigation"	"7"	"7"	"6"	"6"	"6"	"6"	"While this personnel is aboard a [Baj] ship, it is Range +1."	"Y"
ST2E-EN00007	"Borg Queen Perfectionist"	https://www.trekcc.org/2e/cardimages/ST2E-EN00007.jpg	red_card_back	Personnel	"Borg Queen Perfectionist"	"X"	"ST2E-EN00007"	"P"	"Y"	"0P007"	"Personnel"	"3"	""	""	""	""	""	"Borg"	"[Cmd]"	""	"Commander: Queen's Borg Cube."	""	"Borg"	"3 Leadership Treachery"	"3"	"3"	"8"	"8"	"6"	"6"	"While this personnel is facing a dilemma, each personnel you command but do not own cannot be stopped."	"Y"
ST2E-EN00008	"Dukat True Cardassian"	https://www.trekcc.org/2e/cardimages/ST2E-EN00008.jpg	red_card_back	Personnel	"Dukat True Cardassian"	"X"	"ST2E-EN00008"	"P"	"Y"	"0P008"	"Personnel"	"3"	""	""	""	""	""	"Cardassian"	"[Cmd]"	""	"Commander: Naprem."	""	"Cardassian"	"Leadership Navigation Officer Programming Security"	"4"	"4"	"6"	"6"	"6"	"6"	"When an engagement involving this personnel ends, the ship he is aboard and each of your [Car] personnel aboard it are not stopped. You cannot begin any other engagements this turn."	"Y"
ST2E-EN00009	"Kudak'Etan Arrogant First"	https://www.trekcc.org/2e/cardimages/ST2E-EN00009.jpg	red_card_back	Personnel	"Kudak'Etan Arrogant First"	"X"	"ST2E-EN00009"	"P"	"Y"	"0P009"	"Personnel"	"3"	""	""	""	""	""	"Dominion"	"[Cmd]"	""	"Alpha. Commander: U.S.S. Defiant."	""	"Jem'Hadar"	"Astrometrics Leadership Navigation Officer"	"5"	"5"	"5"	"5"	"8"	"8"	"Order - Discard a Vorta from hand to place this personnel and any number of your Jem'Hadar present aboard a ship at the same mission."	"Y"
ST2E-EN00010	"Data Commanding Officer"	https://www.trekcc.org/2e/cardimages/ST2E-EN00010.jpg	red_card_back	Personnel	"Data Commanding Officer"	"X"	"ST2E-EN00010"	"P"	"Y"	"0P010"	"Personnel"	"5"	""	""	""	""	""	"Federation"	"[Cmd][E]"	""	"Commander: U.S.S. Sutherland."	""	"Android"	"Engineer Leadership Officer Physics Programming"	"6"	"6"	"10"	"10"	"10"	"10"	"Order - Discard a card from hand to name a card. When an opponent plays that card, score 5 points. This effect lasts until the start of your next turn. You may do this only once each turn."	"Y"
ST2E-EN00011	"Jean-Luc Picard Starship Captain"	https://www.trekcc.org/2e/cardimages/ST2E-EN00011.jpg	red_card_back	Personnel	"Jean-Luc Picard Starship Captain"	"X"	"ST2E-EN00011"	"P"	"Y"	"0P011"	"Personnel"	"3"	""	""	""	""	""	"Federation"	"[Cmd][TNG]"	""	"Commander: U.S.S. Enterprise-D."	""	"Human"	"Diplomacy Honor Law Leadership Navigation Officer"	"8"	"8"	"6"	"6"	"6"	"6"	"Order - This personnel loses Diplomacy, Law, and Navigation and gains Anthropology, Archaeology, and Science until the end of this turn. You may do this only once each turn."	"Y"
ST2E-EN00012	"Gowron Sole Leader of the Empire"	https://www.trekcc.org/2e/cardimages/ST2E-EN00012.jpg	red_card_back	Personnel	"Gowron Sole Leader of the Empire"	"X"	"ST2E-EN00012"	"P"	"Y"	"0P012"	"Personnel"	"3"	""	""	""	""	""	"Klingon"	"[Cmd]"	""	"Chancellor. Commander: I.K.S. Bortas."	""	"Klingon"	"Honor Law 2 Leadership Security"	"6"	"6"	"5"	"5"	"8"	"8"	"When your Honor Klingon is about to be stopped or killed by a dilemma, you may discard a Treachery Klingon from hand to prevent that. You may do this only once each turn."	"Y"
ST2E-EN00013	"Arctus Baran Treasure Seeker"	https://www.trekcc.org/2e/cardimages/ST2E-EN00013.jpg	red_card_back	Personnel	"Arctus Baran Treasure Seeker"	"X"	"ST2E-EN00013"	"P"	"Y"	"0P013"	"Personnel"	"2"	""	""	""	""	""	"Non-Aligned"	"[Cmd]"	""	"Commander: Fortune. Smuggler. Thief."	""	"Alien"	"Archaeology Officer Security Treachery"	"2"	"2"	"5"	"5"	"6"	"6"	"When this personnel uses a skill to complete a mission, you may download an Artifact card and place it in your core (if it is an event) or present with this personnel (if it is an equipment)."	"Y"
ST2E-EN00014	"Velal Reluctant Aggressor"	https://www.trekcc.org/2e/cardimages/ST2E-EN00014.jpg	red_card_back	Personnel	"Velal Reluctant Aggressor"	"X"	"ST2E-EN00014"	"P"	"Y"	"0P014"	"Personnel"	"2"	""	""	""	""	""	"Romulan"	"[Cmd]"	""	"Commander: Rovaran. General."	""	"Romulan"	"Archaeology Leadership Officer Security"	"5"	"5"	"6"	"6"	"6"	"6"	"When the player on your right attempts this mission, if you command a Maneuver event, you may draw an extra dilemma and spend one extra in total cost on dilemmas."	"Y"
ST2E-EN04099	"Anneli"	https://www.trekcc.org/2e/cardimages/ST2E-EN04099.jpg	red_card_back	Personnel	"Anneli"	"NE"	"ST2E-EN04099"	"C"	"N"	"4C099"	"Personnel"	"1"	""	""	""	""	""	"Bajoran"	"[Stf][DS9]"	""	""	""	"Bajoran"	"Astrometrics Biology Science"	"5"	"5"	"5"	"5"	"5"	"5"	"While you command an event in your core, this personnel is attributes +1."	"Y"
ST2E-EN04100	"Bareil Antos Opaka's Protector"	https://www.trekcc.org/2e/cardimages/ST2E-EN04100.jpg	red_card_back	Personnel	"Bareil Antos Opaka's Protector"	"NE"	"ST2E-EN04100"	"R"	"Y"	"4R100"	"Personnel"	"4"	""	""	""	""	""	"Bajoran"	""	""	"Vedek."	""	"Bajoran"	"Anthropology Diplomacy 2 Honor Leadership Programming"	"8"	"8"	"6"	"6"	"5"	"5"	"Order - Stop this personnel to download a card, then place that card in your discard pile."	"Y"
ST2E-EN04101	"Day Kannu Field Colonel"	https://www.trekcc.org/2e/cardimages/ST2E-EN04101.jpg	red_card_back	Personnel	"Day Kannu Field Colonel"	"NE"	"ST2E-EN04101"	"U"	"Y"	"4U101"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd][DS9]"	""	""	""	"Bajoran"	"Engineer Officer Security Treachery"	"3"	"3"	"5"	"5"	"6"	"6"	"When you win combat involving this personnel, score 5 points."	"Y"
ST2E-EN04102	"Dukat Anjohl Tennan"	https://www.trekcc.org/2e/cardimages/ST2E-EN04102.jpg	red_card_back	Personnel	"Dukat Anjohl Tennan"	"NE"	"ST2E-EN04102"	"R"	"Y"	"4R102"	"Personnel"	"2"	""	""	""	""	""	"Bajoran"	"[Cmd]"	""	""	""	"Cardassian"	"Anthropology Archaeology Diplomacy Programming 2 Treachery"	"2"	"2"	"6"	"6"	"6"	"6"	"While this personnel is facing a dilemma, you may remove an Anthropology or Leadership personnel in your discard pile from the game to make this personnel attributes +1 until the end of this mission attempt."	"Y"
ST2E-EN04103	"Kira Meru Comfort Woman"	https://www.trekcc.org/2e/cardimages/ST2E-EN04103.jpg	red_card_back	Personnel	"Kira Meru Comfort Woman"	"NE"	"ST2E-EN04103"	"R"	"Y"	"4R103"	"Personnel"	"1"	""	""	""	""	""	"Bajoran"	"[Pa]"	""	""	""	"Bajoran"	"Anthropology Exobiology Geology"	"5"	"5"	"5"	"5"	"5"	"5"	"While this personnel is attempting a mission, you may lose 5 points to make her gain a skill on a [Baj] personnel in your discard pile until the end of that mission attempt."	"Y"
